IE_NAME;IE_CODE;IC_GROUP0;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP46;CP_QUANTITY;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
3D slider-0016;3d_slider_0016;3D slider;Black-White;Pattern;A thin transparent film of 8-10 microns.;3D slider;Pattern;30;Lucky Rose;WD-TF-3D-0016;200;;;1,99;USD
3D slider-0017;3d_slider_0017;3D slider;Colorful;Flowers;A thin transparent film of 8-10 microns.;3D slider;Flowers;14;Lucky Rose;WD-TF-3D-0017;200;;;1,99;USD
3D slider-0018;3d_slider_0018;3D slider;Colorful;Floral;A thin transparent film of 8-10 microns.;3D slider;Floral;30;Lucky Rose;WD-TF-3D-0018;200;;;1,99;USD
3D slider-0019;3d_slider_0019;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0019;200;;;1,99;USD
3D slider-0020;3d_slider_0020;3D slider;Black-White;Pattern;A thin transparent film of 8-10 microns.;3D slider;Pattern;14;Lucky Rose;WD-TF-3D-0020;200;;;1,99;USD
3D slider-0021;3d_slider_0021;3D slider;Colorful;Others;A thin transparent film of 8-10 microns.;3D slider;Others;30;Lucky Rose;WD-TF-3D-0021;200;;;1,99;USD
3D slider-0022;3d_slider_0022;3D slider;Colorful;Seosons;A thin transparent film of 8-10 microns.;3D slider;Seosons;30;Lucky Rose;WD-TF-3D-0022;200;;;1,99;USD
3D slider-0023;3d_slider_0023;3D slider;Colorful;Inscriptions;A thin transparent film of 8-10 microns.;3D slider;Inscriptions;30;Lucky Rose;WD-TF-3D-0023;200;;;1,99;USD
3D slider-0024;3d_slider_0024;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0024;200;;;1,99;USD
3D slider-0025;3d_slider_0025;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0025;200;;;1,99;USD
3D slider-0026;3d_slider_0026;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0026;200;;;1,99;USD
3D slider-0027;3d_slider_0027;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0027;200;;;1,99;USD
3D slider-0028;3d_slider_0028;3D slider;Colorful;Others;A thin transparent film of 8-10 microns.;3D slider;Others;21;Lucky Rose;WD-TF-3D-0028;200;;;1,99;USD
3D slider-0029;3d_slider_0029;3D slider;Black-White;Lace;A thin transparent film of 8-10 microns.;3D slider;Lace;30;Lucky Rose;WD-TF-3D-0029;200;;;1,99;USD
3D slider-0030;3d_slider_0030;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0030;200;;;1,99;USD
3D slider-0031;3d_slider_0031;3D slider;Colorful;Flowers;A thin transparent film of 8-10 microns.;3D slider;Flowers;30;Lucky Rose;WD-TF-3D-0031;200;;;1,99;USD
3D slider-0032;3d_slider_0032;3D slider;Colorful;Flowers;A thin transparent film of 8-10 microns.;3D slider;Flowers;30;Lucky Rose;WD-TF-3D-0032;200;;;1,99;USD
3D slider-0033;3d_slider_0033;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;21;Lucky Rose;WD-TF-3D-0033;200;;;1,99;USD
3D slider-0034;3d_slider_0034;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0034;200;;;1,99;USD
3D slider-0035;3d_slider_0035;3D slider;Colorful;Floral;A thin transparent film of 8-10 microns.;3D slider;Floral;21;Lucky Rose;WD-TF-3D-0035;200;;;1,99;USD
3D slider-0036;3d_slider_0036;3D slider;Colorful;Others;A thin transparent film of 8-10 microns.;3D slider;Others;21;Lucky Rose;WD-TF-3D-0036;200;;;1,99;USD
3D slider-0037;3d_slider_0037;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;21;Lucky Rose;WD-TF-3D-0037;200;;;1,99;USD
3D slider-0038;3d_slider_0038;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;21;Lucky Rose;WD-TF-3D-0038;200;;;1,99;USD
3D slider-0039;3d_slider_0039;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;21;Lucky Rose;WD-TF-3D-0039;200;;;1,99;USD
3D slider-0040;3d_slider_0040;3D slider;Colorful;Floral;A thin transparent film of 8-10 microns.;3D slider;Floral;21;Lucky Rose;WD-TF-3D-0040;200;;;1,99;USD
3D slider-0041;3d_slider_0041;3D slider;Colorful;Inscriptions;A thin transparent film of 8-10 microns.;3D slider;Inscriptions;30;Lucky Rose;WD-TF-3D-0041;200;;;1,99;USD
3D slider-0042;3d_slider_0042;3D slider;Colorful;Seosons;A thin transparent film of 8-10 microns.;3D slider;Seosons;30;Lucky Rose;WD-TF-3D-0042;200;;;1,99;USD
Aero Black-0001;aero_black_0001;Aero series;Black;Geometry;A thin transparent film of 8-10 microns.;Aero Black;Geometry;14;Lucky Rose;WD-TF-A-B-0001;200;;;1,99;USD
Aero Black-0002;aero_black_0002;Aero series;Black;Gradient;A thin transparent film of 8-10 microns.;Aero Black;Gradient;14;Lucky Rose;WD-TF-A-B-0002;200;;;1,99;USD
Aero Black-0003;aero_black_0003;Aero series;Black;Geometry;A thin transparent film of 8-10 microns.;Aero Black;Geometry;14;Lucky Rose;WD-TF-A-B-0003;200;;;1,99;USD
Aero Black-0004;aero_black_0004;Aero series;Black;Geometry;A thin transparent film of 8-10 microns.;Aero Black;Geometry;14;Lucky Rose;WD-TF-A-B-0004;200;;;1,99;USD
Aero Neon-0006;aero_neon_0006;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero Neon;Mixed;21;Lucky Rose;WD-TF-A-N-0006;200;;;1,99;USD
Aero Neon-0007;aero_neon_0007;Aero series;Colorful;Others;A thin transparent film of 8-10 microns.;Aero Neon;Others;14;Lucky Rose;WD-TF-A-N-0007;200;;;1,99;USD
Aero Neon-0008;aero_neon_0008;Aero series;Colorful;Geometry;A thin transparent film of 8-10 microns.;Aero Neon;Geometry;21;Lucky Rose;WD-TF-A-N-0008;200;;;1,99;USD
Aero Neon-0009;aero_neon_0009;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero Neon;Mixed;30;Lucky Rose;WD-TF-A-N-0009;200;;;1,99;USD
Aero Neon-0010;aero_neon_0010;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero Neon;Mixed;30;Lucky Rose;WD-TF-A-N-0010;200;;;1,99;USD
Aero White-0001;aero_white_0001;Aero series;White;Geometry;A thin transparent film of 8-10 microns.;Aero White;Geometry;14;Lucky Rose;WD-TF-A-W-0001;200;;;1,99;USD
Aero White-0002;aero_white_0002;Aero series;White;Gradient;A thin transparent film of 8-10 microns.;Aero White;Gradient;14;Lucky Rose;WD-TF-A-W-0002;200;;;1,99;USD
Aero White-0003;aero_white_0003;Aero series;White;Geometry;A thin transparent film of 8-10 microns.;Aero White;Geometry;14;Lucky Rose;WD-TF-A-W-0003;200;;;1,99;USD
Aero White-0004;aero_white_0004;Aero series;White;Geometry;A thin transparent film of 8-10 microns.;Aero White;Geometry;14;Lucky Rose;WD-TF-A-W-0004;200;;;1,99;USD
Aero-0005;aero_0005;Aero series;Black-White;Others;A thin transparent film of 8-10 microns.;Aero;Others;14;Lucky Rose;WD-TF-A-0005;200;;;1,99;USD
Aero-0011;aero_0011;Aero series;Colorful;Animals;A thin transparent film of 8-10 microns.;Aero;Animals;21;Lucky Rose;WD-TF-A-0011;200;;;1,99;USD
Aero-0012;aero_0012;Aero series;Colorful;Geometry;A thin transparent film of 8-10 microns.;Aero;Geometry;21;Lucky Rose;WD-TF-A-0012;200;;;1,99;USD
Aero-0013;aero_0013;Aero series;Colorful;Seosons;A thin transparent film of 8-10 microns.;Aero;Seosons;30;Lucky Rose;WD-TF-A-0013;200;;;1,99;USD
Aero-0014;aero_0014;Aero series;Black-White;Geometry;A thin transparent film of 8-10 microns.;Aero;Geometry;21;Lucky Rose;WD-TF-A-0014;200;;;1,99;USD
Aero-0015;aero_0015;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;30;Lucky Rose;WD-TF-A-0015;200;;;1,99;USD
Aero-0016;aero_0016;Aero series;Colorful;Inscriptions;A thin transparent film of 8-10 microns.;Aero;Inscriptions;30;Lucky Rose;WD-TF-A-0016;200;;;1,99;USD
Aero-0017;aero_0017;Aero series;Colorful;Others;A thin transparent film of 8-10 microns.;Aero;Others;14;Lucky Rose;WD-TF-A-0017;200;;;1,99;USD
Aero-0018;aero_0018;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;14;Lucky Rose;WD-TF-A-0018;200;;;1,99;USD
Aero-0019;aero_0019;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;21;Lucky Rose;WD-TF-A-0019;200;;;1,99;USD
Aero-0020;aero_0020;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;21;Lucky Rose;WD-TF-A-0020;200;;;1,99;USD
Aero-0021;aero_0021;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;14;Lucky Rose;WD-TF-A-0021;200;;;1,99;USD
Aero-0022;aero_0022;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;30;Lucky Rose;WD-TF-A-0022;200;;;1,99;USD
Aero Neon-0023;aero_neon_0023;Aero series;Colorful;Flowers;A thin transparent film of 8-10 microns.;Aero;Flowers;30;Lucky Rose;WD-TF-A-0023;200;;;1,99;USD
Aero Neon-0024;aero_neon_0024;Aero series;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;30;Lucky Rose;WD-TF-A-0024;200;;;1,99;USD
