IE_NAME;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP46;CP_QUANTITY;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
Aero-0011;Colorful;Animals;A thin transparent film of 8-10 microns.;Aero;Animals;21;Lucky Rose;WD-TF-A-0011;100;;;1,99;USD
Aero-0012;Colorful;Geometry;A thin transparent film of 8-10 microns.;Aero;Geometry;21;Lucky Rose;WD-TF-A-0012;0;;;1,99;USD
Aero-0013;Colorful;Seosons;A thin transparent film of 8-10 microns.;Aero;Seosons;30;Lucky Rose;WD-TF-A-0013;99;;;1,99;USD
Aero-0014;Black-White;Geometry;A thin transparent film of 8-10 microns.;Aero;Geometry;21;Lucky Rose;WD-TF-A-0014;99;;;1,99;USD
Aero-0015;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero;Mixed;30;Lucky Rose;WD-TF-A-0015;100;;;1,99;USD
Aero-0016;Colorful;Inscriptions;A thin transparent film of 8-10 microns.;Aero;Inscriptions;30;Lucky Rose;WD-TF-A-0016;97;;;1,99;USD
Aero-0017;Colorful;Others;A thin transparent film of 8-10 microns.;Aero;Others;14;Lucky Rose;WD-TF-A-0017;100;;;1,99;USD
Black-0001;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0001;49;;;1,99;USD
Black-0002;Black;People;A thin transparent film of 8-10 microns.;Black;People;14;Lucky Rose;WD-TF-B-0002;48;;;1,99;USD
Black-0003;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;WD-TF-B-0003;50;;;1,99;USD
Black-0004;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;WD-TF-B-0004;50;;;1,99;USD
Black-0005;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;WD-TF-B-0005;50;;;1,99;USD
Black-0006;Black;Animals;A thin transparent film of 8-10 microns.;Black;Animals;21;Lucky Rose;WD-TF-B-0006;50;;;1,99;USD
Black-0007;Black;Inscriptions;A thin transparent film of 8-10 microns.;Black;Inscriptions;21;Lucky Rose;WD-TF-B-0007;49;;;1,99;USD
Black-0008;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0008;50;;;1,99;USD
Black-0009;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0009;50;;;1,99;USD
Black-0010;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;21;Lucky Rose;WD-TF-B-0010;50;;;1,99;USD
Black-0011;Black;People;A thin transparent film of 8-10 microns.;Black;People;14;Lucky Rose;WD-TF-B-0011;48;;;1,99;USD
Black-0012;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;14;Lucky Rose;WD-TF-B-0012;50;;;1,99;USD
Black-0013;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;30;Lucky Rose;WD-TF-B-0013;49;;;1,99;USD
Black-0014;Black;Seosons;A thin transparent film of 8-10 microns.;Black;Seosons;30;Lucky Rose;WD-TF-B-0014;50;;;1,99;USD
Black-0015;Black;Heroes;A thin transparent film of 8-10 microns.;Black;Heroes;30;Lucky Rose;WD-TF-B-0015;50;;;1,99;USD
Black-0016;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0016;49;;;1,99;USD
Black-0017;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0017;49;;;1,99;USD
Black-0018;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0018;50;;;1,99;USD
Black-0019;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0019;50;;;1,99;USD
Black-0020;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;14;Lucky Rose;WD-TF-B-0020;49;;;1,99;USD
Black-0021;Black;Pattern;A thin transparent film of 8-10 microns.;Black;Pattern;14;Lucky Rose;WD-TF-B-0021;48;;;1,99;USD
Black-0022;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;WD-TF-B-0022;50;;;1,99;USD
Black-0023;Black;Others;A thin transparent film of 8-10 microns.;Black;Others;21;Lucky Rose;WD-TF-B-0023;49;;;1,99;USD
Black-0024;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;21;Lucky Rose;WD-TF-B-0024;50;;;1,99;USD
Black-0025;Black;Inscriptions;A thin transparent film of 8-10 microns.;Black;Inscriptions;14;Lucky Rose;WD-TF-B-0025;50;;;1,99;USD
Black-0026;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0026;49;;;1,99;USD
Black-0027;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0027;49;;;1,99;USD
Black-0028;Black;Others;A thin transparent film of 8-10 microns.;Black;Others;14;Lucky Rose;WD-TF-B-0028;50;;;1,99;USD
Black-0029;Black;Others;A thin transparent film of 8-10 microns.;Black;Others;14;Lucky Rose;WD-TF-B-0029;48;;;1,99;USD
Black-0030;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;14;Lucky Rose;WD-TF-B-0030;49;;;1,99;USD
Black-0031;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;14;Lucky Rose;WD-TF-B-0031;50;;;1,99;USD
Black-0032;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;14;Lucky Rose;WD-TF-B-0032;48;;;1,99;USD
Black-0033;Black;Geometry;A thin transparent film of 8-10 microns.;Black;Geometry;30;Lucky Rose;WD-TF-B-0033;50;;;1,99;USD
Black-0034;Black;Animals;A thin transparent film of 8-10 microns.;Black;Animals;21;Lucky Rose;WD-TF-B-0034;49;;;1,99;USD
Black-0035;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;30;Lucky Rose;WD-TF-B-0035;50;;;1,99;USD
Black-0036;Black;Thematic;A thin transparent film of 8-10 microns.;Black;Thematic;30;Lucky Rose;WD-TF-B-0036;100;;;1,99;USD
Black-0037;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0037;99;;;1,99;USD
Black-0038;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;WD-TF-B-0038;100;;;1,99;USD
Black-0039;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;21;Lucky Rose;WD-TF-B-0039;199;;;1,99;USD
Black-0040;Black;Floral;A thin transparent film of 8-10 microns.;Black;Floral;30;Lucky Rose;WD-TF-B-0040;200;;;1,99;USD
Coloring-0001;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0001;100;;;1,99;USD
Coloring-0002;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0002;100;;;1,99;USD
Coloring-0003;Black;Pattern;A thin transparent film of 8-10 microns.;Coloring;Pattern;14;Lucky Rose;WD-TF-C-0003;100;;;1,99;USD
Coloring-0004;Black;Fruits;A thin transparent film of 8-10 microns.;Coloring;Fruits;14;Lucky Rose;WD-TF-C-0004;100;;;1,99;USD
Coloring-0005;Black;Floral;A thin transparent film of 8-10 microns.;Coloring;Floral;14;Lucky Rose;WD-TF-C-0005;100;;;1,99;USD
Coloring-0006;Black;Butterfly;A thin transparent film of 8-10 microns.;Coloring;Butterfly;14;Lucky Rose;WD-TF-C-0006;100;;;1,99;USD
Coloring-0007;Black;Geometry;A thin transparent film of 8-10 microns.;Coloring;Geometry;14;Lucky Rose;WD-TF-C-0007;99;;;1,99;USD
Coloring-0008;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0008;100;;;1,99;USD
Coloring-0009;Black;Pattern;A thin transparent film of 8-10 microns.;Coloring;Pattern;14;Lucky Rose;WD-TF-C-0009;99;;;1,99;USD
Coloring-0010;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0010;100;;;1,99;USD
Coloring-0011;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0011;100;;;1,99;USD
Coloring-0012;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0012;100;;;1,99;USD
Coloring-0013;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0013;100;;;1,99;USD
Coloring-0014;Black;Others;A thin transparent film of 8-10 microns.;Coloring;Others;14;Lucky Rose;WD-TF-C-0014;100;;;1,99;USD
Coloring-0015;Black;Others;A thin transparent film of 8-10 microns.;Coloring;Others;14;Lucky Rose;WD-TF-C-0015;99;;;1,99;USD
Coloring-0016;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0016;100;;;1,99;USD
Coloring-0017;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0017;100;;;1,99;
Coloring-0018;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0018;100;;;1,99;
Coloring-0019;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0019;100;;;1,99;USD
Coloring-0020;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0020;100;;;1,99;USD
Coloring-0021;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0021;100;;;1,99;USD
Coloring-0022;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0022;100;;;1,99;USD
Coloring-0023;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0023;100;;;1,99;USD
Coloring-0024;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0024;100;;;1,99;
Coloring-0025;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;WD-TF-C-0025;100;;;1,99;USD
Deep Design-1;White;Mixed;White film of 50 microns.;Deep Design;Mixed;50;Lucky Rose;NSN-DD-00001;100;;;;
Deep Design-2;White;Mixed;White film of 50 microns.;Deep Design;Mixed;50;Lucky Rose;NSN-DD-00002;100;;;;
Deep Design-3;White;Mixed;White film of 50 microns.;Deep Design;Mixed;50;Lucky Rose;NSN-DD-00003;100;;;;
Deep Design-4;White;Mixed;White film of 50 microns.;Deep Design;Mixed;50;Lucky Rose;NSN-DD-00004;100;;;;
Deep Design-5;White;Mixed;White film of 50 microns.;Deep Design;Mixed;50;Lucky Rose;NSN-DD-00005;100;;;;
F-0001;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;WD-TF-F-0001;100;;;1,99;USD
F-0002;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;WD-TF-F-0002;50;;;1,99;USD
F-0003;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;WD-TF-F-0003;50;;;1,99;USD
