IE_XML_ID;IE_NAME;IE_SORT;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP50;IP_PROP51;IP_PROP52;IP_PROP53;IP_PROP54;IP_PROP55;IP_PROP56;IP_PROP57;IP_PROP58;IP_PROP59;IP_PROP60;IP_PROP61;IP_PROP62;IP_PROP63;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
77;Minic-0002;500;;;/upload/iblock/634/634d4a0c2d4c7ef6b516a736470b44e1.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Butterfly;A thin transparent film of 8-10 microns.;Minic;Butterfly;8;Lucky Rose;;;;WD-TF-M-0002;;;;;;;;;;;;;;;;;;;Minic series;;;1000;0;0;0;0;;;0.99;USD
78;Minic-0003;500;;;/upload/iblock/f96/f960a3338da47c4a1180378eb0146720.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Pattern;A thin transparent film of 8-10 microns.;Minic;Pattern;8;Lucky Rose;;;;WD-TF-M-0003;;;;;;;;;;;;;;;;;;;Minic series;;;1000;0;0;0;0;;;0.99;USD
79;Minic-0004;500;;;/upload/iblock/1cd/1cd8b9edce64ebfe80a977b4a2b551b9.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Fruits;A thin transparent film of 8-10 microns.;Minic;Fruits;8;Lucky Rose;;;;WD-TF-M-0004;;;;;;;;;;;;;;;;;;;Minic series;;;1000;0;0;0;0;;;0.99;USD
80;Minic-0005;500;;;/upload/iblock/8bd/8bd5a316a36be1302afe9225385cc610.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;Minic;Flowers;8;Lucky Rose;;;;WD-TF-M-0005;;;;;;;;;;;;;;;;;;;Minic series;;;1000;0;0;0;0;;;0.99;USD
81;Minic-0006;500;;;/upload/iblock/699/699323cf8542b913e538e211b01f42e4.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;Minic;Flowers;8;Lucky Rose;;;;WD-TF-M-0006;;;;;;;;;;;;;;;;;;;Minic series;;;1000;0;0;0;0;;;0.99;USD
82;Minic-0007;500;;;/upload/iblock/74e/74ead267c1be81a599d65f709e263d78.png;Colorful water decal on transparent film. Use only on white background.;Popular;;Colorful;Flowers;A thin transparent film of 8-10 microns.;Minic;Flowers;8;Lucky Rose;;;;WD-TF-M-0007;;;;;;;;;;;;;;;;;;;Minic series;;;1000;0;0;0;0;;;0.99;USD
92;Black-0001;500;/upload/iblock/220/220e6382ef531df2ef07c99281ee0128.jpg;;/upload/iblock/95c/95c9845e5faeb452553ddb596edc168f.jpg;Black water decal on transparent film. Can be used on any background.;Popular;;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;;;;WD-TF-B-0001;;;;;4;;;;;5;1;5;;;;;;;Black series;;;1000;0;0;0;0;;;1.99;USD
93;Black-0002;500;;;/upload/iblock/e5d/e5db2c12ebb21ba8a268dbd3f601870e.jpg;Black water decal on transparent film. Can be used on any background.;;;Black;People;A thin transparent film of 8-10 microns.;Black;People;14;Lucky Rose;;;;WD-TF-B-0002;;;;;;;;;;;;;;;;;;;Black series;;;1000;0;0;0;0;;;1.99;USD
94;Black-0003;500;/upload/iblock/a24/a24ea2439a748264aec345cb32fba55c.jpg;;/upload/iblock/923/92381d0a64492129b9fdaf07cee2b173.jpg;Black water decal on transparent film. Can be used on any background.;;;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;;;;WD-TF-B-0003;;;;;4;;;;;5;1;5;;;;;;;Black series;;;1000;0;0;0;0;;;1.99;USD
95;Black-0004;500;;;/upload/iblock/188/188f3dcff4b4ec6836afcff1c8b9569f.jpg;Black water decal on transparent film. Can be used on any background.;Popular;;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;;;;WD-TF-B-0004;;;;;;;;;;;;;;;;;;;Black series;;;1000;0;0;0;0;;;1.99;USD
