IE_NAME;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP46;CP_QUANTITY;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
3D slider-0015;Colorful;Floral;A thin transparent film of 8-10 microns.;3D slider;Floral;30;Lucky Rose;WD-TF-3D-0015;100;;;1,99;USD
3D slider-0016;Black-White;Pattern;A thin transparent film of 8-10 microns.;3D slider;Pattern;30;Lucky Rose;WD-TF-3D-0016;100;;;1,99;USD
3D slider-0017;Colorful;Flowers;A thin transparent film of 8-10 microns.;3D slider;Flowers;14;Lucky Rose;WD-TF-3D-0017;100;;;1,99;USD
3D slider-0018;Colorful;Floral;A thin transparent film of 8-10 microns.;3D slider;Floral;30;Lucky Rose;WD-TF-3D-0018;100;;;1,99;USD
3D slider-0019;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0019;100;;;1,99;USD
3D slider-0020;Black-White;Pattern;A thin transparent film of 8-10 microns.;3D slider;Pattern;14;Lucky Rose;WD-TF-3D-0020;100;;;1,99;USD
3D slider-0021;Colorful;Others;A thin transparent film of 8-10 microns.;3D slider;Others;30;Lucky Rose;WD-TF-3D-0021;100;;;1,99;USD
3D slider-0022;Colorful;Seosons;A thin transparent film of 8-10 microns.;3D slider;Seosons;30;Lucky Rose;WD-TF-3D-0022;100;;;1,99;USD
3D slider-0023;Colorful;Inscriptions;A thin transparent film of 8-10 microns.;3D slider;Inscriptions;30;Lucky Rose;WD-TF-3D-0023;100;;;1,99;USD
3D slider-0024;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0024;100;;;1,99;USD
3D slider-0025;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0025;100;;;1,99;USD
3D slider-0026;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0026;100;;;1,99;USD
3D slider-0027;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0027;100;;;1,99;USD
3D slider-0028;Colorful;Others;A thin transparent film of 8-10 microns.;3D slider;Others;21;Lucky Rose;WD-TF-3D-0028;100;;;1,99;USD
3D slider-0029;Black-White;Lace;A thin transparent film of 8-10 microns.;3D slider;Lace;30;Lucky Rose;WD-TF-3D-0029;100;;;1,99;USD
3D slider-0030;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0030;100;;;1,99;USD
3D slider-0031;Colorful;Flowers;A thin transparent film of 8-10 microns.;3D slider;Flowers;30;Lucky Rose;WD-TF-3D-0031;100;;;1,99;USD
3D slider-0032;Colorful;Flowers;A thin transparent film of 8-10 microns.;3D slider;Flowers;30;Lucky Rose;WD-TF-3D-0032;100;;;1,99;USD
3D slider-0033;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;21;Lucky Rose;WD-TF-3D-0033;100;;;1,99;USD
3D slider-0034;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0034;100;;;1,99;USD
3D slider-0035;Colorful;Floral;A thin transparent film of 8-10 microns.;3D slider;Floral;21;Lucky Rose;WD-TF-3D-0035;100;;;1,99;USD
3D slider-0036;Colorful;Others;A thin transparent film of 8-10 microns.;3D slider;Others;21;Lucky Rose;WD-TF-3D-0036;100;;;1,99;USD
3D slider-0037;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;21;Lucky Rose;WD-TF-3D-0037;100;;;1,99;USD
3D slider-0038;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;21;Lucky Rose;WD-TF-3D-0038;100;;;1,99;USD
3D slider-0039;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;21;Lucky Rose;WD-TF-3D-0039;100;;;1,99;USD
3D slider-0040;Colorful;Floral;A thin transparent film of 8-10 microns.;3D slider;Floral;21;Lucky Rose;WD-TF-3D-0040;100;;;1,99;USD
3D slider-0041;Colorful;Inscriptions;A thin transparent film of 8-10 microns.;3D slider;Inscriptions;30;Lucky Rose;WD-TF-3D-0041;100;;;1,99;USD
3D slider-0042;Colorful;Seosons;A thin transparent film of 8-10 microns.;3D slider;Seosons;30;Lucky Rose;WD-TF-3D-0042;100;;;1,99;USD
Aero Black-0001;Black;Geometry;A thin transparent film of 8-10 microns.;Aero Black;Geometry;14;Lucky Rose;WD-TF-A-B-0001;100;;;1,99;USD
Aero Black-0002;Black;Gradient;A thin transparent film of 8-10 microns.;Aero Black;Gradient;14;Lucky Rose;WD-TF-A-B-0002;100;;;1,99;USD
Aero Black-0003;Black;Geometry;A thin transparent film of 8-10 microns.;Aero Black;Geometry;14;Lucky Rose;WD-TF-A-B-0003;100;;;1,99;USD
Aero Black-0004;Black;Geometry;A thin transparent film of 8-10 microns.;Aero Black;Geometry;14;Lucky Rose;WD-TF-A-B-0004;100;;;1,99;USD
Aero Neon-0006;Colorful;Mixed;A thin transparent film of 8-10 microns.;Aero Neon;Mixed;21;Lucky Rose;WD-TF-A-N-0006;100;;;1,99;USD
