IE_XML_ID;IE_NAME;IE_SORT;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP50;IP_PROP51;IP_PROP52;IP_PROP53;IP_PROP54;IP_PROP55;IP_PROP56;IP_PROP57;IP_PROP58;IP_PROP59;IP_PROP60;IP_PROP61;IP_PROP62;IP_PROP63;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
77;Minic-0002;500;;;/upload/iblock/c8b/c8b01aa49e294c23cac56e19687a12af.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Butterfly;A thin transparent film of 8-10 microns.;Minic;Butterfly;8;Lucky Rose;;;;WD-TF-M-0002;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0.99;USD
78;Minic-0003;500;;;/upload/iblock/ee0/ee0ce840c60ea971c3596725b6edcb44.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Pattern;A thin transparent film of 8-10 microns.;Minic;Pattern;8;Lucky Rose;;;;WD-TF-M-0003;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0.99;USD
79;Minic-0004;500;;;/upload/iblock/1ea/1ea1f7600d5abcee0a624ca59cc0fde4.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Fruits;A thin transparent film of 8-10 microns.;Minic;Fruits;8;Lucky Rose;;;;WD-TF-M-0004;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0.99;USD
80;Minic-0005;500;;;/upload/iblock/a81/a8136cbfee7f0e6c174e2cc5a4474e52.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;Minic;Flowers;8;Lucky Rose;;;;WD-TF-M-0005;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0.99;USD
81;Minic-0006;500;;;/upload/iblock/746/746c956c45181f164895741976c62476.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;Minic;Flowers;8;Lucky Rose;;;;WD-TF-M-0006;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0.99;USD
82;Minic-0007;500;;;/upload/iblock/f82/f82e99706905be012c96ffb276a0353e.png;Colorful water decal on transparent film. Use only on white background.;Popular;;Colorful;Flowers;A thin transparent film of 8-10 microns.;Minic;Flowers;8;Lucky Rose;;;;WD-TF-M-0007;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0.99;USD
92;Black-0001;500;/upload/iblock/9f4/9f426ba5092155ef4f00934a0df7b1fd.jpg;;/upload/iblock/394/394f050767e7d26905100d44d9ac9be9.png;Black water decal on transparent film. Can be used on any background.;Popular;;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;;;;WD-TF-B-0001;;;;;4;;;;;5;1;5;;;;;;;Black series;;;200;0;0;0;0;;;1.99;USD
93;Black-0002;500;;;/upload/iblock/7fe/7fe93448b50003095d63964025ae699f.png;Black water decal on transparent film. Can be used on any background.;;;Black;People;A thin transparent film of 8-10 microns.;Black;People;14;Lucky Rose;;;;WD-TF-B-0002;;;;;;;;;;;;;;;;;;;Black series;;;200;0;0;0;0;;;1.99;USD
94;Black-0003;500;/upload/iblock/697/6979443e881ba36e16ffc320003644a1.jpg;;/upload/iblock/ed9/ed95f5be28c9e7dfe918059240e024d3.png;Black water decal on transparent film. Can be used on any background.;;;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;;;;WD-TF-B-0003;;;;;4;;;;;5;1;5;;;;;;;Black series;;;200;0;0;0;0;;;1.99;USD
95;Black-0004;500;;;/upload/iblock/8f4/8f4ade803db34bf531793a712c9a5d36.png;Black water decal on transparent film. Can be used on any background.;Popular;;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;;;;WD-TF-B-0004;;;;;;;;;;;;;;;;;;;Black series;;;200;0;0;0;0;;;1.99;USD
96;Black-0005;500;;;/upload/iblock/9ea/9ead66f6646f2ec64bed35d78519c1eb.png;Black water decal on transparent film. Can be used on any background.;Popular;;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;;;;WD-TF-B-0005;;;;;;;;;;;;;;;;;;;Black series;;;200;0;0;0;0;;;1.99;USD
98;White-0001;500;;;/upload/iblock/4e6/4e69002105c98a5bbcf6d6f9c7d27d23.png;White water decal on transparent film. Can be used on any background.;Popular;;White;Geometry;A thin transparent film of 8-10 microns.;White;Geometry;14;Lucky Rose;;;;WD-TF-W-0001;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;0.99;USD
99;White-0002;500;;;/upload/iblock/ff7/ff71a7cabd8d2b901eed431e948c79a3.png;White water decal on transparent film. Can be used on any background.;Popular;;White;Floral;A thin transparent film of 8-10 microns.;White;Floral;14;Lucky Rose;;;;WD-TF-W-0002;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1.99;USD
