IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP76;IP_PROP71;IP_PROP75;IP_PROP72;IP_PROP74;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP51;IP_PROP53;IP_PROP59;IP_PROP50;IP_PROP52;IP_PROP57;IP_PROP61;IP_PROP54;IP_PROP56;IP_PROP49;IP_PROP55;IP_PROP58;IP_PROP60;IP_PROP63;IP_PROP62;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2
77;Minic-0002;77;Y;;;;;text;/upload/iblock/f01/f01a7b8bec8ccbafc7809873cfc69e61.png;Colorful water decal on transparent film. Use only on white background.;text;0002_minic;500;;;;Colorful;Butterfly;Lucky Rose;A thin transparent film of 8-10 microns.;8;Minic;Butterfly;;;;WD-TF-M-0002;;;;;;;;;;;;;;;;;;;Minic series;;
78;Minic-0003;78;Y;;;;;text;/upload/iblock/54d/54dd1a99872bc2eac1c75aa7b6a962b1.png;Colorful water decal on transparent film. Use only on white background.;text;0003_minic;500;;;;Colorful;Pattern;Lucky Rose;A thin transparent film of 8-10 microns.;8;Minic;Pattern;;;;WD-TF-M-0003;;;;;;;;;;;;;;;;;;;Minic series;;
79;Minic-0004;79;Y;;;;;text;/upload/iblock/902/902b3da0634850430a5d6ab2ccbe4846.png;Colorful water decal on transparent film. Use only on white background.;text;0004_minic;500;;;;Colorful;Fruits;Lucky Rose;A thin transparent film of 8-10 microns.;8;Minic;Fruits;;;;WD-TF-M-0004;;;;;;;;;;;;;;;;;;;Minic series;;
80;Minic-0005;80;Y;;;;;text;/upload/iblock/e96/e9607c9b9bbc55d37d1b759f84b88154.png;Colorful water decal on transparent film. Use only on white background.;text;0005_minic;500;;;;Colorful;Flowers;Lucky Rose;A thin transparent film of 8-10 microns.;8;Minic;Flowers;;;;WD-TF-M-0005;;;;;;;;;;;;;;;;;;;Minic series;;
81;Minic-0006;81;Y;;;;;text;/upload/iblock/1d4/1d4ec02018ffb6960e10d902adaaa227.png;Colorful water decal on transparent film. Use only on white background.;text;0006_minic;500;;;;Colorful;Flowers;Lucky Rose;A thin transparent film of 8-10 microns.;8;Minic;Flowers;;;;WD-TF-M-0006;;;;;;;;;;;;;;;;;;;Minic series;;
82;Minic-0007;82;Y;;;;;text;/upload/iblock/ece/ece5e8f676e632a75e0f0e74899ef931.png;Colorful water decal on transparent film. Use only on white background.;text;0007_minic;500;;Popular;;Colorful;Flowers;Lucky Rose;A thin transparent film of 8-10 microns.;8;Minic;Flowers;;;;WD-TF-M-0007;;;;;;;;;;;;;;;;;;;Minic series;;
92;Black-0001;92;Y;;;/upload/iblock/188/18812be548b9a737aea48c0c7d91a04f.jpg;;text;/upload/iblock/db6/db6010ed6585f381f11193628a41556c.png;Black water decal on transparent film. Can be used on any background.;text;black_0001;500;;Popular;;Black;Mixed;Lucky Rose;A thin transparent film of 8-10 microns.;30;Black;Mixed;;;;WD-TF-B-0001;;;4;;;;;1;;;5;;;5;;;;;Black series;;
93;Black-0002;93;Y;;;;;text;/upload/iblock/64f/64fdcfe94206dffd14f21dde52e1343b.png;Black water decal on transparent film. Can be used on any background.;text;0002_black;500;;;;Black;People;Lucky Rose;A thin transparent film of 8-10 microns.;14;Black;People;;;;WD-TF-B-0002;;;;;;;;;;;;;;;;;;;Black series;;
94;Black-0003;94;Y;;;/upload/iblock/326/3262bb4618cbae45e72a233047b89c9c.jpg;;text;/upload/iblock/97f/97ffb0d22298faa860382a2881cedad4.png;Black water decal on transparent film. Can be used on any background.;text;0003_black;500;;;;Black;Lace;Lucky Rose;A thin transparent film of 8-10 microns.;14;Black;Lace;;;;WD-TF-B-0003;;;4;;;;;1;;;5;;;5;;;;;Black series;;
95;Black-0004;95;Y;;;;;text;/upload/iblock/ad2/ad2f4f618d0d32300cb58c307a9ffc87.png;Black water decal on transparent film. Can be used on any background.;text;0004_black;500;;Popular;;Black;Lace;Lucky Rose;A thin transparent film of 8-10 microns.;14;Black;Lace;;;;WD-TF-B-0004;;;;;;;;;;;;;;;;;;;Black series;;
96;Black-0005;96;Y;;;;;text;/upload/iblock/196/196412a59e2e0a78215e089113a660fa.png;Black water decal on transparent film. Can be used on any background.;text;0005_black;500;;Popular;;Black;Lace;Lucky Rose;A thin transparent film of 8-10 microns.;14;Black;Lace;;;;WD-TF-B-0005;;;;;;;;;;;;;;;;;;;Black series;;
98;White-0001;98;Y;;;;;text;/upload/iblock/d42/d42ae687d04ebffe12f789a2b5280387.png;White water decal on transparent film. Can be used on any background.;text;white_0001;500;;Popular;;White;Geometry;Lucky Rose;A thin transparent film of 8-10 microns.;14;White;Geometry;;;;WD-TF-W-0001;;;;;;;;;;;;;;;;;;;White series;;
99;White-0002;99;Y;;;;;text;/upload/iblock/69b/69b09670c88d10552749e8281c3b92c4.png;White water decal on transparent film. Can be used on any background.;text;0002_white;500;;Popular;;White;Floral;Lucky Rose;A thin transparent film of 8-10 microns.;14;White;Floral;;;;WD-TF-W-0002;;;;;;;;;;;;;;;;;;;White series;;
100;White-0003;100;Y;;;;;text;/upload/iblock/f48/f487d64a1861871b13bccea2ddb18811.png;White water decal on transparent film. Can be used on any background.;text;0003_white;500;;Popular;;White;Lace;Lucky Rose;A thin transparent film of 8-10 microns.;14;White;Lace;;;;WD-TF-W-0003;;;;;;;;;;;;;;;;;;;White series;;
101;White-0004;101;Y;;;;;text;/upload/iblock/284/28416cea87abf083e5c9731d1c6e6033.png;White water decal on transparent film. Can be used on any background.;text;0004_white;500;;;;White;Thematic;Lucky Rose;A thin transparent film of 8-10 microns.;14;White;Thematic;;;;WD-TF-W-0004;;;;;;;;;;;;;;;;;;;White series;;
102;White-0005;102;Y;;;;;text;/upload/iblock/d0a/d0a883398e5faab1cb8acf24df0d0370.png;White water decal on transparent film. Can be used on any background.;text;0005_white;500;;;;White;Floral;Lucky Rose;A thin transparent film of 8-10 microns.;14;White;Floral;;;;WD-TF-W-0005;;;;;;;;;;;;;;;;;;;White series;;
103;White-0006;103;Y;;;;;text;/upload/iblock/df3/df30b331bb4a8c972cf8e0702841762d.png;White water decal on transparent film. Can be used on any background.;text;0006_white;500;;Popular;;White;Lace;Lucky Rose;A thin transparent film of 8-10 microns.;14;White;Lace;;;;WD-TF-W-0006;;;;;;;;;;;;;;;;;;;White series;;
104;White-0007;104;Y;;;;;text;/upload/iblock/85e/85eaa2a4be82fe6678ee6acd77007c61.png;White water decal on transparent film. Can be used on any background.;text;0007_white;500;;;;White;Lace;Lucky Rose;A thin transparent film of 8-10 microns.;14;White;Lace;;;;WD-TF-W-0007;;;;;;;;;;;;;;;;;;;White series;;
106;Coloring-0001;106;Y;;;/upload/iblock/d19/d19db8489b46c4c190829177b821685c.png;;text;/upload/iblock/c6b/c6b4299bd0c7af6a0a8fa962042fb9f4.png;"Black water decal on transparent film. 
Can be used on any background.";text;coloring_0001;500;;;;Black;Heroes;Lucky Rose;A thin transparent film of 8-10 microns.;14;Coloring;Heroes;;;;WD-TF-C-0001;;;;;;;;;;;;;;;;;;;Stencils;;
107;Coloring-0002;107;Y;;;/upload/iblock/4a8/4a8b2419df428b30736752dc4b6986f0.png;;text;/upload/iblock/f3a/f3adc0536b0db32d26de560b69dcacad.png;"Black water decal on transparent film. 
Can be used on any background.";text;0002_coloring;500;;;;Black;Heroes;Lucky Rose;A thin transparent film of 8-10 microns.;14;Coloring;Heroes;;;;WD-TF-C-0002;;;;;;;;;;;;;;;;;;;Stencils;;
