IE_XML_ID;IE_NAME;IE_SORT;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP50;IP_PROP51;IP_PROP52;IP_PROP53;IP_PROP54;IP_PROP55;IP_PROP56;IP_PROP57;IP_PROP58;IP_PROP59;IP_PROP60;IP_PROP61;IP_PROP62;IP_PROP63;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
81;Minic-0006;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;Minic;Flowers;8;Lucky Rose;;;;WD-TF-M-0006;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0,99;USD
82;Minic-0007;500;;Colorful water decal on transparent film. Use only on white background.;Popular;;Colorful;Flowers;A thin transparent film of 8-10 microns.;Minic;Flowers;8;Lucky Rose;;;;WD-TF-M-0007;;;;;;;;;;;;;;;;;;;Minic series;;;50;0;0;0;0;;;0,99;USD
92;Black-0001;500;;Black water decal on transparent film. Can be used on any background.;Popular;;Black;Mixed;A thin transparent film of 8-10 microns.;Black;Mixed;30;Lucky Rose;;;;WD-TF-B-0001;;;;;4;;;;;5;1;5;;;;;;;Black series;;;200;0;0;0;0;;;1,99;USD
93;Black-0002;500;;Black water decal on transparent film. Can be used on any background.;;;Black;People;A thin transparent film of 8-10 microns.;Black;People;14;Lucky Rose;;;;WD-TF-B-0002;;;;;;;;;;;;;;;;;;;Black series;;;200;0;0;0;0;;;1,99;USD
94;Black-0003;500;;Black water decal on transparent film. Can be used on any background.;;;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;;;;WD-TF-B-0003;;;;;4;;;;;5;1;5;;;;;;;Black series;;;200;0;0;0;0;;;1,99;USD
95;Black-0004;500;;Black water decal on transparent film. Can be used on any background.;Popular;;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;;;;WD-TF-B-0004;;;;;;;;;;;;;;;;;;;Black series;;;200;0;0;0;0;;;1,99;USD
96;Black-0005;500;;Black water decal on transparent film. Can be used on any background.;Popular;;Black;Lace;A thin transparent film of 8-10 microns.;Black;Lace;14;Lucky Rose;;;;WD-TF-B-0005;;;;;;;;;;;;;;;;;;;Black series;;;200;0;0;0;0;;;1,99;USD
98;White-0001;500;;White water decal on transparent film. Can be used on any background.;Popular;;White;Geometry;A thin transparent film of 8-10 microns.;White;Geometry;14;Lucky Rose;;;;WD-TF-W-0001;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1,99;USD
99;White-0002;500;;White water decal on transparent film. Can be used on any background.;Popular;;White;Floral;A thin transparent film of 8-10 microns.;White;Floral;14;Lucky Rose;;;;WD-TF-W-0002;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1,99;USD
100;White-0003;500;;White water decal on transparent film. Can be used on any background.;Popular;;White;Lace;A thin transparent film of 8-10 microns.;White;Lace;14;Lucky Rose;;;;WD-TF-W-0003;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1,99;USD
101;White-0004;500;;White water decal on transparent film. Can be used on any background.;;;White;Thematic;A thin transparent film of 8-10 microns.;White;Thematic;14;Lucky Rose;;;;WD-TF-W-0004;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1,99;USD
102;White-0005;500;;White water decal on transparent film. Can be used on any background.;;;White;Floral;A thin transparent film of 8-10 microns.;White;Floral;14;Lucky Rose;;;;WD-TF-W-0005;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1,99;USD
103;White-0006;500;;White water decal on transparent film. Can be used on any background.;Popular;;White;Lace;A thin transparent film of 8-10 microns.;White;Lace;14;Lucky Rose;;;;WD-TF-W-0006;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1,99;USD
104;White-0007;500;;White water decal on transparent film. Can be used on any background.;;;White;Lace;A thin transparent film of 8-10 microns.;White;Lace;14;Lucky Rose;;;;WD-TF-W-0007;;;;;;;;;;;;;;;;;;;White series;;;200;0;0;0;0;;;1,99;USD
106;Coloring-0001;500;;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;;;;WD-TF-C-0001;;;;;;;;;;;;;;;;;;;Stencils;;;200;0;0;0;0;;;1,99;USD
107;Coloring-0002;500;;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Heroes;A thin transparent film of 8-10 microns.;Coloring;Heroes;14;Lucky Rose;;;;WD-TF-C-0002;;;;;;;;;;;;;;;;;;;Stencils;;;200;0;0;0;0;;;1,99;USD
108;Coloring-0003;500;;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Pattern;A thin transparent film of 8-10 microns.;Coloring;Pattern;14;Lucky Rose;;;;WD-TF-C-0003;;;;;;;;;;;;;;;;;;;Stencils;;;200;0;0;0;0;;;1,99;USD
109;Coloring-0004;500;;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Fruits;A thin transparent film of 8-10 microns.;Coloring;Fruits;14;Lucky Rose;;;;WD-TF-C-0004;;;;;;;;;;;;;;;;;;;Stencils;;;200;0;0;0;0;;;1,99;USD
110;Coloring-0005;500;;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Floral;A thin transparent film of 8-10 microns.;Coloring;Floral;14;Lucky Rose;;;;WD-TF-C-0005;;;;;;;;;;;;;;;;;;;Stencils;;;200;0;0;0;0;;;1,99;USD
111;Coloring-0006;500;;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Butterfly;A thin transparent film of 8-10 microns.;Coloring;Butterfly;14;Lucky Rose;;;;WD-TF-C-0006;;;;;;;;;;;;;;;;;;;Stencils;;;200;0;0;0;0;;;1,99;USD
112;Coloring-0007;500;;"Black water decal on transparent film. 
Can be used on any background.";;;Black;Geometry;A thin transparent film of 8-10 microns.;Coloring;Geometry;14;Lucky Rose;;;;WD-TF-C-0007;;;;;;;;;;;;;;;;;;;Stencils;;;200;0;0;0;0;;;1,99;USD
130;Pedicure-0001;500;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Floral;A thin transparent film of 8-10 microns.;Pedicure;Floral;12;Lucky Rose;;;;WD-WF-P-0001;;;;;;;;;;;;;;;;;;;Pedicure;;;200;0;0;0;0;;;1,99;USD
131;Pedicure-0002;500;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Floral;A thin transparent film of 8-10 microns.;Pedicure;Floral;12;Lucky Rose;;;;WD-WF-P-0002;;;;;;;;;;;;;;;;;;;Pedicure;;;200;0;0;0;0;;;1,99;USD
132;Pedicure-0003;500;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Others;A thin transparent film of 8-10 microns.;Pedicure;Others;12;Lucky Rose;;;;WD-WF-P-0003;;;;;;;;;;;;;;;;;;;Pedicure;;;200;0;0;0;0;;;1,99;USD
133;Pedicure-0004;500;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Others;A thin transparent film of 8-10 microns.;Pedicure;Others;12;Lucky Rose;;;;WD-WF-P-0004;;;;;;;;;;;;;;;;;;;Pedicure;;;200;0;0;0;0;;;1,99;USD
134;Pedicure-0005;500;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Floral;A thin transparent film of 8-10 microns.;Pedicure;Floral;12;Lucky Rose;;;;WD-WF-P-0005;;;;;;;;;;;;;;;;;;;Pedicure;;;200;0;0;0;0;;;1,99;USD
135;Pedicure-0006;500;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Thematic;A thin transparent film of 8-10 microns.;Pedicure;Thematic;12;Lucky Rose;;;;WD-WF-P-0006;;;;;;;;;;;;;;;;;;;Pedicure;;;200;0;0;0;0;;;1,99;USD
136;Pedicure-0007;500;;"Colorful water decal on transparent film. 
Can be used on any background.";;;Colorful;Floral;A thin transparent film of 8-10 microns.;Pedicure;Floral;12;Lucky Rose;;;;WD-WF-P-0007;;;;;;;;;;;;;;;;;;;Pedicure;;;200;0;0;0;0;;;1,99;USD
171;F-0008;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0008;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
172;3D slider-0001;500;;;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;;;;WD-TF-3D-0001;;;;;;;;;;;;;;;;;;;3D slider;;;200;0;0;0;0;;;1,99;USD
173;F-0009;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0009;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
174;F-0010;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Lace;A thin transparent film of 8-10 microns.;F;Lace;14;Lucky Rose;;;;WD-TF-F-0010;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
175;F-0011;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0011;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
176;F-0012;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Inscriptions;A thin transparent film of 8-10 microns.;F;Inscriptions;14;Lucky Rose;;;;WD-TF-F-0012;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
177;F-0013;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0013;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
178;F-0014;500;;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0014;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;1,99;USD
