IE_XML_ID;IE_NAME;IE_SORT;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP27;IP_PROP29;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP37;IP_PROP38;IP_PROP40;IP_PROP46;IP_PROP47;IP_PROP48;IP_PROP49;IP_PROP50;IP_PROP51;IP_PROP52;IP_PROP53;IP_PROP54;IP_PROP55;IP_PROP56;IP_PROP57;IP_PROP58;IP_PROP59;IP_PROP60;IP_PROP61;IP_PROP62;IP_PROP63;IP_PROP64;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
50;F-0001;0;;;/upload/iblock/504/50482b6e01a1a8fc46e7adb602e5f9e6.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;;;;WD-TF-F-0001;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;0.00;USD
51;F-0002;500;;;/upload/iblock/e47/e47530d7d84cf7fa7e29f505c51f623b.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;;;;WD-TF-F-0002;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;0.00;USD
52;F-0003;500;;;/upload/iblock/1cd/1cd62445a2ed26e4aeb805828ed4ca05.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Chabby Chic;A thin transparent film of 8-10 microns.;F;Chabby Chic;14;Lucky Rose;;;;WD-TF-F-0003;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;0.00;USD
53;F-0004;500;;;/upload/iblock/026/026948d5f08e6c1c96c9b6e5fd75cdbb.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0004;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;0.00;USD
54;F-0005;500;;;/upload/iblock/76b/76bb39879921057d15d4d352b01181a2.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Flowers;A thin transparent film of 8-10 microns.;F;Flowers;14;Lucky Rose;;;;WD-TF-F-0005;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;0.00;USD
55;F-0006;500;;;/upload/iblock/36e/36e3a892a55f2fcb79ffdddc8a14b974.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0006;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;0.00;USD
56;F-0007;500;;;/upload/iblock/4a8/4a81d988e8495890836bc4cc112f5f79.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Thematic;A thin transparent film of 8-10 microns.;F;Thematic;14;Lucky Rose;;;;WD-TF-F-0007;;;;;;;;;;;;;;;;;;;F series;;;200;0;0;0;0;;;0.00;USD
60;2Fingers-0001;500;;;/upload/iblock/d4f/d4fa99316a37e009798416d6ddb3c2d5.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Fruits;A thin transparent film of 8-10 microns.;2Fingers;Fruits;16;Lucky Rose;;;;WD-TF-2F-0001;;;;;;;;;;;;;;;;;;;2 Fingers series;;;200;0;0;0;0;;;0.00;USD
61;2Fingers-0002;500;;;/upload/iblock/cb3/cb301f383e95fb39c7ecdd1ee9268eac.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;;;;WD-TF-2F-0002;;;;;;;;;;;;;;;;;;;2 Fingers series;;;200;0;0;0;0;;;0.00;USD
62;2Fingers-0003;500;;;/upload/iblock/d58/d581938c56069d23cd989ec403402438.png;Colorful water decal on transparent film. Use only on white background.;;;Colorful;Mixed;A thin transparent film of 8-10 microns.;2Fingers;Mixed;16;Lucky Rose;;;;WD-TF-2F-0003;;;;;4;;;;;5;1;5;;;;;;;2 Fingers series;;;200;0;0;0;0;;;0.00;USD
