IE_NAME;IE_ID;IE_CODE;IC_GROUP0;IP_PROP36;IP_PROP70;IP_PROP71;IP_PROP72;IP_PROP74;IP_PROP75;IP_PROP76;IP_PROP46;CP_QUANTITY;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
3D slider-0006;;3d_slider_0006;3D slider;Colorful;Pattern;A thin transparent film of 8-10 microns.;3D slider;Pattern;14;Lucky Rose;WD-TF-3D-0006;200;;;1,99;USD
3D slider-0007;;3d_slider_0007;3D slider;Colorful;Butterfly;A thin transparent film of 8-10 microns.;3D slider;Butterfly;30;Lucky Rose;WD-TF-3D-0007;200;;;1,99;USD
3D slider-0008;;3d_slider_0008;3D slider;Colorful;Butterfly;A thin transparent film of 8-10 microns.;3D slider;Butterfly;21;Lucky Rose;WD-TF-3D-0008;200;;;1,99;USD
3D slider-0009;;3d_slider_0009;3D slider;Black-White;Inscriptions;A thin transparent film of 8-10 microns.;3D slider;Inscriptions;30;Lucky Rose;WD-TF-3D-0009;200;;;1,99;USD
3D slider-0010;;3d_slider_0010;3D slider;Colorful;Flowers;A thin transparent film of 8-10 microns.;3D slider;Flowers;21;Lucky Rose;WD-TF-3D-0010;200;;;1,99;USD
3D slider-0011;;3d_slider_0011;3D slider;Colorful;Flowers;A thin transparent film of 8-10 microns.;3D slider;Flowers;14;Lucky Rose;WD-TF-3D-0011;200;;;1,99;USD
3D slider-0012;;3d_slider_0012;3D slider;Colorful;Fruits;A thin transparent film of 8-10 microns.;3D slider;Fruits;30;Lucky Rose;WD-TF-3D-0012;200;;;1,99;USD
3D slider-0013;;3d_slider_0013;3D slider;Colorful;Flowers;A thin transparent film of 8-10 microns.;3D slider;Flowers;30;Lucky Rose;WD-TF-3D-0013;200;;;1,99;USD
3D slider-0014;;3d_slider_0014;3D slider;White;Flowers;A thin transparent film of 8-10 microns.;3D slider;Flowers;21;Lucky Rose;WD-TF-3D-0014;200;;;1,99;USD
3D slider-0015;;3d_slider_0015;3D slider;Colorful;Floral;A thin transparent film of 8-10 microns.;3D slider;Floral;30;Lucky Rose;WD-TF-3D-0015;200;;;1,99;USD
3D slider-0016;;3d_slider_0016;3D slider;Black-White;Pattern;A thin transparent film of 8-10 microns.;3D slider;Pattern;30;Lucky Rose;WD-TF-3D-0016;200;;;1,99;USD
3D slider-0017;;3d_slider_0017;3D slider;Colorful;Flowers;A thin transparent film of 8-10 microns.;3D slider;Flowers;14;Lucky Rose;WD-TF-3D-0017;200;;;1,99;USD
3D slider-0018;;3d_slider_0018;3D slider;Colorful;Floral;A thin transparent film of 8-10 microns.;3D slider;Floral;30;Lucky Rose;WD-TF-3D-0018;200;;;1,99;USD
3D slider-0019;;3d_slider_0019;3D slider;Colorful;Mixed;A thin transparent film of 8-10 microns.;3D slider;Mixed;30;Lucky Rose;WD-TF-3D-0019;200;;;1,99;USD
3D slider-0020;;3d_slider_0020;3D slider;Black-White;Pattern;A thin transparent film of 8-10 microns.;3D slider;Pattern;14;Lucky Rose;WD-TF-3D-0020;200;;;1,99;USD
3D slider-0021;;3d_slider_0021;3D slider;Colorful;Others;A thin transparent film of 8-10 microns.;3D slider;Others;30;Lucky Rose;WD-TF-3D-0021;200;;;1,99;USD
